Date,Interval,Entry,CE Strike,PE Strike,Result,CE Exit,PE Exit,CE Exit Time,PE Exit Time
"23/4/2026","08 PM → 11 PM","78997.00","79497.00","78497.00","SAFE","-","-","-","-"
"23/4/2026","11 PM → 02 AM","78872.50","79372.50","78372.50","PE HIT","-","78372.50","-","23/4/2026, 7:00:00 am"
"23/4/2026","02 AM → 05 AM","78395.50","78895.50","77895.50","SAFE","-","-","-","-"
"23/4/2026","05 AM → 08 AM","78141.00","78641.00","77641.00","PE HIT","-","77641.00","-","23/4/2026, 11:00:00 am"
"23/4/2026","08 AM → 11 AM","77897.50","78397.50","77397.50","SAFE","-","-","-","-"
"23/4/2026","11 AM → 02 PM","77993.00","78493.00","77493.00","SAFE","-","-","-","-"
"23/4/2026","02 PM → 05 PM","77823.00","78323.00","77323.00","PE HIT","-","77323.00","-","23/4/2026, 9:00:00 pm"
"23/4/2026","05 PM → 08 PM","77650.00","78150.00","77150.00","CE HIT","78150.00","-","24/4/2026, 1:00:00 am","-"
"24/4/2026","08 PM → 11 PM","78133.00","78633.00","77633.00","PE HIT","-","77633.00","-","24/4/2026, 4:00:00 am"
"24/4/2026","11 PM → 02 AM","77715.00","78215.00","77215.00","SAFE","-","-","-","-"
"24/4/2026","02 AM → 05 AM","77847.00","78347.00","77347.00","SAFE","-","-","-","-"
"24/4/2026","05 AM → 08 AM","78225.00","78725.00","77725.00","SAFE","-","-","-","-"
"24/4/2026","08 AM → 11 AM","78089.00","78589.00","77589.00","PE HIT","-","77589.00","-","24/4/2026, 2:00:00 pm"
"24/4/2026","11 AM → 02 PM","77911.50","78411.50","77411.50","SAFE","-","-","-","-"
"24/4/2026","02 PM → 05 PM","77744.50","78244.50","77244.50","CE HIT","78244.50","-","24/4/2026, 10:00:00 pm","-"
"24/4/2026","05 PM → 08 PM","78200.00","78700.00","77700.00","PE HIT","-","77700.00","-","25/4/2026, 1:00:00 am"
"25/4/2026","08 PM → 11 PM","77994.00","78494.00","77494.00","PE HIT","-","77494.00","-","25/4/2026, 4:00:00 am"
"25/4/2026","11 PM → 02 AM","77647.50","78147.50","77147.50","SAFE","-","-","-","-"
"25/4/2026","02 AM → 05 AM","77688.50","78188.50","77188.50","SAFE","-","-","-","-"
"25/4/2026","05 AM → 08 AM","77394.00","77894.00","76894.00","SAFE","-","-","-","-"
"25/4/2026","08 AM → 11 AM","77568.00","78068.00","77068.00","SAFE","-","-","-","-"
"25/4/2026","11 AM → 02 PM","77476.00","77976.00","76976.00","SAFE","-","-","-","-"
"25/4/2026","02 PM → 05 PM","77603.50","78103.50","77103.50","SAFE","-","-","-","-"
"25/4/2026","05 PM → 08 PM","77639.00","78139.00","77139.00","SAFE","-","-","-","-"
"26/4/2026","08 PM → 11 PM","77618.00","78118.00","77118.00","PE HIT","-","77118.00","-","26/4/2026, 3:00:00 am"
"26/4/2026","11 PM → 02 AM","77213.00","77713.00","76713.00","SAFE","-","-","-","-"
"26/4/2026","02 AM → 05 AM","77439.50","77939.50","76939.50","SAFE","-","-","-","-"
"26/4/2026","05 AM → 08 AM","77587.00","78087.00","77087.00","SAFE","-","-","-","-"
"26/4/2026","08 AM → 11 AM","77470.50","77970.50","76970.50","CE HIT","77970.50","-","26/4/2026, 4:00:00 pm","-"
"26/4/2026","11 AM → 02 PM","77949.00","78449.00","77449.00","SAFE","-","-","-","-"
"26/4/2026","02 PM → 05 PM","77989.00","78489.00","77489.00","SAFE","-","-","-","-"
"26/4/2026","05 PM → 08 PM","78050.50","78550.50","77550.50","SAFE","-","-","-","-"
"27/4/2026","08 PM → 11 PM","78053.00","78553.00","77553.00","SAFE","-","-","-","-"
"27/4/2026","11 PM → 02 AM","77985.00","78485.00","77485.00","SAFE","-","-","-","-"
"27/4/2026","02 AM → 05 AM","78158.00","78658.00","77658.00","CE HIT","78658.00","-","27/4/2026, 8:00:00 am","-"
"27/4/2026","05 AM → 08 AM","78625.00","79125.00","78125.00","CE HIT","79125.00","-","27/4/2026, 11:00:00 am","-"
"27/4/2026","08 AM → 11 AM","79068.50","79568.50","78568.50","PE HIT","-","78568.50","-","27/4/2026, 4:00:00 pm"
"27/4/2026","11 AM → 02 PM","77730.00","78230.00","77230.00","SAFE","-","-","-","-"
"27/4/2026","02 PM → 05 PM","77759.50","78259.50","77259.50","SAFE","-","-","-","-"
"27/4/2026","05 PM → 08 PM","77804.50","78304.50","77304.50","SAFE","-","-","-","-"
"28/4/2026","08 PM → 11 PM","77776.00","78276.00","77276.00","PE HIT","-","77276.00","-","28/4/2026, 2:00:00 am"
"28/4/2026","11 PM → 02 AM","76700.00","77200.00","76200.00","SAFE","-","-","-","-"
"28/4/2026","02 AM → 05 AM","76900.00","77400.00","76400.00","CE HIT","77400.00","-","28/4/2026, 10:00:00 am","-"
"28/4/2026","05 AM → 08 AM","77331.00","77831.00","76831.00","PE HIT","-","76831.00","-","28/4/2026, 1:00:00 pm"
"28/4/2026","08 AM → 11 AM","76844.50","77344.50","76344.50","SAFE","-","-","-","-"
"28/4/2026","11 AM → 02 PM","76848.50","77348.50","76348.50","SAFE","-","-","-","-"
"28/4/2026","02 PM → 05 PM","76820.50","77320.50","76320.50","PE HIT","-","76320.50","-","28/4/2026, 10:00:00 pm"
"28/4/2026","05 PM → 08 PM","76198.50","76698.50","75698.50","PE HIT","-","75698.50","-","29/4/2026, 1:00:00 am"
"29/4/2026","08 PM → 11 PM","75919.50","76419.50","75419.50","SAFE","-","-","-","-"
"29/4/2026","11 PM → 02 AM","76154.50","76654.50","75654.50","SAFE","-","-","-","-"
"29/4/2026","02 AM → 05 AM","76420.50","76920.50","75920.50","SAFE","-","-","-","-"
"29/4/2026","05 AM → 08 AM","76291.00","76791.00","75791.00","SAFE","-","-","-","-"
"29/4/2026","08 AM → 11 AM","76490.50","76990.50","75990.50","CE HIT","76990.50","-","29/4/2026, 2:00:00 pm","-"
"29/4/2026","11 AM → 02 PM","77239.50","77739.50","76739.50","SAFE","-","-","-","-"
"29/4/2026","02 PM → 05 PM","76998.50","77498.50","76498.50","CE HIT","77498.50","-","29/4/2026, 8:00:00 pm","-"
